All,모두
"Select Block...","블럭 선택... "
"CMS Static Block Default Template","CMS 고정 블럭 기본 템플릿 "
"Enable Block","블럭 활성화 "
"Block Title","블럭 제목 "
"Page Information","페이지 정보 "
"Enable Page","페이지 활성화 "
"Content Heading","컨텐츠 해딩"
"Page in Websites","웹사이트의 페이지"
"Custom Design Update","커스텀 디자인 업데이트"
"New Layout","신규 레이아웃"
"Custom design from","커스텀 디자인 시작"
"Custom design to","커스텀 디자인 종료"
"Custom Theme","커스텀 테마"
"Custom Layout","커스텀 레이아웃"
"Delete ${ $.$data.title }","${ $.$data.title } 삭제 "
"Delete ""${ $.$data.title }""","""${ $.$data.타이틀 }"" 삭제"
"Are you sure you wan't to delete selected items?","정말로 선택한 항목을 삭제하겠습니까?"
"Search Engine Optimisation",SEO
"CMS Pages","CMS 페이지"
"CMS Blocks","CMS 블럭"
"Remove CMS block from Campaign","켐페인에서 CMS 블럭 삭제"
"Remove CMS page from Campaign","켐페인에서 CMS 페이지 삭제"
"Delete Customer","고객 삭제"
"Email Address:","이메일 주소:"
"First Name:",이름:
"Last Name:",성:
"A total of %1 record(s) were deleted.","총 %1개의 레코드가 삭제되었습니다."
"Invalid login or password.","이메일 또는 비밀번호가 다릅니다."
"Something went wrong","문제가 발생함"
"Exception message","예외 메세지"
"Please select a region, state or province.","지역을 선택하세요."
"Phone Number","전화 번호"
"You have no other address entries in your address book.","주소록에 저장된 주소가 없습니다."
"Create an Account","회원 가입"
"When you sign in to your account, you will be able to:","로그인을 하시면 다음 사항들을 하실 수 있습니다:"
Comment,코멘트
ZIP,우편번호
Gender,"성별 "
"My Orders","주문 내역"
"The requested Payment Method is not available.","요청된 결제수단을 사용할 수 없습니다."
Updated,업데이트됨
Purchased,구매하셨습니다.
"Order # %1","주문번호 %1"
"This is a required field.","필수 항목 입니다."
Date,날짜
"Default Config","기본 설정"
"Save Config","설정 저장"
"Use system value","시스템 설정값 사용"
"Use Website","웹사이트 사용"
Add,추가
"Add \Exception","예외 추가"
"-- No Theme --","-- 테마 없음 --"
"You saved the configuration.","설정을 저장하였습니다."
"Something went wrong while saving this configuration:","설정 저장중 문제가 발생했습니다:"
"Please specify the admin custom URL.","관리자의 커스텀 URL을 선택해 주십시오."
"%1 An empty value is allowed as well.","%1 빈 값이 허용됩니다."
"Specify a fully qualified URL.","완전한 URL을 지정하십시오."
"Selected allowed currency ""%1"" is not available in installed currencies.","선택한 허용 통화 ""%1""은(는) 설치된 통화가 아닙니다."
"Default display currency ""%1"" is not available in allowed currencies.","기본 표시 통화 ""%1""은(는) 허용된 통화가 아닙니다."
"Sorry, the default display currency you selected is not available in allowed currencies.","죄송합니다. 선택한 기본 표시 통화는 허용된 통화가 아닙니다."
"Please correct the email address: ""%1"".","이 이메일 주소를 정정 하십시오: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","보내는 사람 이름 ""%1""이 잘못되었습니다. 문자와 공백만 사용할 수 있습니다."
"Maximum sender name length is 255. Please correct your settings.","보내는 사람 이름은 최대 255자 입니다."
"The base directory to upload file is not specified.","파일을 업로드 하기 위한 기본 디렉토리가 지정되지 않았습니다."
"Default scope","기본 적용범위"
"Base currency","기본 통화"
"Display default currency","기본 표시 통화"
"website(%1) scope","웹사이트(%1) 적용범위"
"store(%1) scope","스토어(%1) 적용범위"
"The file ""%1"" does not exist","""%1"" 파일이 없습니다."
"Always (during development)","항상 (개발기간중)"
"Only Once (version upgrade)","한번만(버전 업그레이드)"
"Never (production)","절대(프로덕션 환경)"
Bcc,"숨은 참조"
"Separate Email","별도 이메일"
"%1 (Default)","%1 (기본)"
title,타이틀
Optional,선택사항
"Current Configuration Scope:","현재 설정 적용범위:"
"Group Label","그룹 라벨"
"Tab Label","탭 라벨"
"Field 2","필드 2"
"Field 3","필드 3"
"Field 3.1","필드 3.1"
"Field 3.1.1","필드 3.1.1"
"Field 4","필드 4"
"Email to a Friend","친구에게 이메일보내기"
"Choose an Option...","옵션을 선택 하십시오..."
"Requested option doesn't exist: %1","요청한 옵션이 존재하지 않습니다: %1"
"You can't add the item to shopping cart.","해당 제품을 장바구니에 추가할 수 없습니다."
"Add Products Manually","수동으로 상품 등록"
Weight,중량
Options,옵션
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color)."
"New Product Review","새로운 상품 리뷰"
"Enable Product","상품 활성화"
save,저장
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","문의주셔서 감사합니다. 곧 연락드리겠습니다."
"What’s on your mind?","무슨 생각을 하십니까?"
"Contact Us","사용 문의"
"Enable Contact Us","사용 문의 활성화"
"Email Options","이메일 옵션"
"Email Sender","이메일 송신자"
"Email Template","이메일 템플릿"
"Name: %name","이름: %name"
"Email: %email","이메일: %email"
"Phone Number: %telephone","전화 번호: %telephone"
"Comment: %comment","코멘트: %comment"
"Invalid domain name: %1","잘못된 도메인 이름: %1"
"Invalid cookie lifetime: %1","잘못된 쿠키 활성시간: %1"
"Invalid cookie path","잘못된 쿠키 경로"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">
 더보기</a>
 ."
"Allow Cookies","쿠키 허용"
"Default Cookie Settings","기본 쿠키 설정"
"Cookie Lifetime","쿠키 활성시간"
"Cookie Path","쿠키 경로"
"Cookie Domain","쿠키 도메인"
"Use HTTP Only","HTTP만 사용"
"Cookie Restriction Mode","쿠키 제한 모드"
"Save Currency Rates","환율 저장"
"Manage Currency Rates","환율 관리"
"Import Service","가져오기 서비스"
"Save Currency Symbols","통화 기호 저장"
"Currency Symbols","통화 기호"
"Please specify a correct Import Service.","올바른 가져오기 서비스를 선택해 주십시오."
"Click ""Save"" to apply the rates we found.","""저장""을 누르면 검색한 환율을 적용합니다."
"Currency Rates",환율
"All valid rates have been saved.","유효한 모든 환율이 저장되었습니다."
"You must first configure currency options before being able to see currency rates.","환율을 보기위해서는 먼저 통화 옵션을 설정해야만 합니다."
"Old rate:","구 환율:"
"Text Field","텍스트 필드"
"Text Area","텍스트 영역"
Yes/No,네/아니오
"You have not set a default shipping address.","기본 배송지 주소를 설정하지 않았습니다."
"You have not set a default billing address.","기본 구매자 주소를 설정하지 않았습니다."
"Address Book",주소록
"Edit Address","주소 편집"
"Add New Address","새 주소 추가"
region,지역
"Save Customer","고객 저장"
"Reset Password","비밀번호 초기화"
"Force Sign-In","강제 로그인"
"New Customer","신규 고객"
Newsletter,뉴스레터
"Newsletter Information","뉴스레터 정보"
"Subscribed to Newsletter","뉴스레터 구독"
"Last Date Subscribed","구독 마지막 날짜"
"Last Date Unsubscribed","구독 취소 마지막 날짜"
"No Newsletter Found","뉴스레터를 찾을 수 없습니다."
"Start date","시작 날짜"
"Receive Date","수신 날짜"
Subject,제목
Sent,전송됨
"Not Sent","전송 안됨"
Sending,전송
Paused,일시정지
Unknown,"알 수 없음"
"Ship-to Name","배송 받는 분 이름"
"Purchase Point","구매 포인트"
"There are no items in customer's shopping cart.","고객의 장바구니에 상품이 없습니다."
Confirmed,확인됨
"Confirmation Required","확인이 필요합니다."
"Confirmation Not Required","확인할 필요가 없습니다."
"The customer does not have default billing address.","기본 구매 주소가 없습니다."
Offline,오프라인
Online,온라인
"Deleted Stores","삭제된 스토어"
"Add Locale","언어 추가"
"Add Date","날짜 추가"
"Delete Image","이미지 삭제"
"View Full Size","전체 사이즈 보기"
"All countries","전체 국가"
"Add New Customer Group","신규 고객 그룹 추가"
"Save Customer Group","고객 그룹 저장"
"Delete Customer Group","고객 그룹 삭제"
"New Customer Group","신규 고객 그룹"
"Edit Customer Group ""%1""","%1 고객 그룹 수정"
"Group Information","그룹 정보"
"Group Name","그룹 이름"
"Maximum length must be less then %1 characters.","최대 글자수는 %1 입니다."
"Tax Class","세금 유형"
"The customer is now assigned to Customer Group %s.","고객이 %s 고객 그룹에 지정되었습니다."
"Would you like to change the Customer Group for this order?","해당 주문을 위해 고객 그룹을 바꾸겠습니까?"
"The VAT ID is valid.","올바른 VAT ID입니다."
"The VAT ID entered (%s) is not a valid VAT ID.","입력된 VAT ID(%s)이(가) 올바르지 않습니다."
"The VAT ID is valid. The current Customer Group will be used.","올바른 VAT ID 입니다. 해당 고객 그룹은 사용가능합니다."
"The VAT ID is valid but no Customer Group is assigned for it.","올바른 VAT ID이지만 고객 그룹이 지정되지 않았습니다."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","VAT ID에 따라 고객은 %s 고객 그룹에 속합니다."
"Something went wrong while validating the VAT ID.","VAT ID 검증중 문제가 발생했습니다."
"The customer would belong to Customer Group %s.","고객이 고객 그룹 %s에 속할 것입니다."
"There was an error detecting Customer Group.","고객 그룹을 감지하는 중 오류가 발생했습니다."
"Validate VAT Number","VAT 번호 검증"
"Customer Login",로그인
"Create New Customer Account","신규 고객 계정 만들기"
"Date of Birth",생년월일
"Bad request.","잘못된 요청"
"This confirmation key is invalid or has expired.","확인 키가 잘못되었거나 만료되었습니다."
"There was an error confirming the account","계정 확인중 문제가 발생했습니다."
"Thank you for registering with %1.","%1에 가입해 주셔서 감사합니다."
"Please check your email for confirmation key.","이메일에 확인 키가 있는지 확인하십시오."
"This email does not require confirmation.","확인이 필요하지 않는 이메일 입니다."
"Wrong email.","잘못된 이메일."
"Your password reset link has expired.","비밀번호 변경 링크의 유효기간이 만료되었습니다."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","이 이메일주소를 사용하는 계정이 이미 존재합니다. 고객님의 이메일 주소가 맞다면 <a href=""%1"">
   여기를 클릭</a>
   하여 비밀번호를 찾을 수 있습니다."
"We can't save the customer.","고객을 저장할 수 없습니다."
"Please make sure your passwords match.","비밀번호가 맞는지 확인해 주십시오."
"You saved the account information.","계정 정보를 저장하였습니다."
"Password confirmation doesn't match entered password.","비밀번호 확인에 입력한 비밀번호가 맞지 않습니다."
"The password doesn't match this account.","비밀번호가 일치하지 않습니다."
"Please correct the email address.","이메일 주소를 수정해 주십시오."
"We're unable to send the password reset email.","비밀번호 재설정 이메일을 보낼 수 없습니다."
"Please enter your email.","이메일을 입력해 주십시오."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","%1와 일치하는 계정이 있다면 이메일로 비밀번호를 재설정할 수 있는 링크를 받게 됩니다."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","승인되지 않은 계정입니다. 확인메일을 다시 받으시려면 <a href=""%1"">이곳을 클릭</a>하세요."
"An unspecified error occurred. Please contact us for assistance.","알수없는 문제가 발생했습니다. 도움이 필요하시면 관리자에게 문의해 주십시오."
"A login and a password are required.","로그인 및 비밀번호는 필수입니다."
"New Password and Confirm New Password values didn't match.","신규 비밀번호와 신규 비밀번호 확인값이 일치하지 않습니다."
"Please enter a new password.","새로운 비밀번호를 입력해 주십시오."
"You updated your password.","비밀번호를 변경하였습니다."
"Something went wrong while saving the new password.","새로운 비밀번호를 저장하는 동안 오류가 발생했습니다."
"You deleted the address.","주소를 삭제했습니다."
"We can't delete the address right now.","지금은 주소를 삭제할 수 없습니다."
"You saved the address.","주소를 저장하였습니다."
"We can't save the address.","주소를 저장할 수 없습니다."
"No customer ID defined.","고객 ID가 정의되지 않았습니다."
"You deleted the customer group.","고객 그룹을 삭제했습니다."
"The customer group no longer exists.","고객 그룹이 더이상 존재하지 않습니다."
"New Group","신규 그룹"
"New Customer Groups","신규 고객 그룹"
"Edit Group","그룹 수정"
"Edit Customer Groups","고객 그룹 수정"
"You saved the customer group.","고객 그룹을 저장했습니다."
"Please select customer(s).","고객을 선택해 주십시오."
"Customer could not be deleted.","고객을 삭제할 수 없습니다."
"You deleted the customer.","고객을 삭제했습니다."
"Something went wrong while editing the customer.","고객 수정중 에러가 발생했습니다."
"Manage Customers","고객 관리"
"The customer will receive an email with a link to reset password.","비밀 번호 재설정 링크가 포함된 이메일을 받게 됩니다."
"Something went wrong while resetting customer password.","새로운 비밀번호를 저장하는 동안 오류가 발생했습니다."
"You saved the customer.","고객을 저장했습니다."
"Something went wrong while saving the customer.","고객 저장중 에러가 발생했습니다."
"Online Customers","온라인 고객"
"Customers Now Online","현재 온라인 고객"
"Please define Wish List item ID.","위시리스트 아이템 ID를 정의해 주십시오."
"Please load Wish List item.","위시리스트 아이템을 불러 주십시오."
"Login successful.","로그인 성공."
"No confirmation needed.","확인이 필요 없습니다."
"Account already active","계정이 이미 활성화 되어있습니다."
"Invalid confirmation token","잘못된 확인 토큰"
"The account is locked.","계정이 잠겼습니다. "
"This account is not confirmed.","승인되지 않은 계정입니다."
"Please enter a password with at most %1 characters.","%1자 이하의 암호를 입력해 주십시오."
"Please enter a password with at least %1 characters.","%1자 이상의 암호를 입력해 주십시오."
"The password can't begin or end with a space.","비밀번호에 공백을 포함할 수 없습니다."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","비밀번호는 최소%1개의 조건을 충족하여야 합니다: 대문자, 소문자, 숫자, 기호."
"This customer already exists in this store.","이 스토어에 이미 존재하는 고객입니다."
"A customer with the same email already exists in an associated website.","동일한 이메일을 가진 고객이 이미 연결된 웹사이트에 있습니다."
"Reset password token mismatch.","비밀번호 리셋 토큰이 일치하지 않습니다."
"Reset password token expired.","비밀번호 리셋 토큰의 유효기간이 만료되었습니다."
"""%1"" is a required value.","""%1""은(는) 필수 항목 입니다."
"Per Website",웹사이트당
"Please enter a valid password reset token.","올바른 비밀번호 변경 토큰을 입력해 주십시오."
"The password can not begin or end with a space.","비밀번호에 공백을 포함할 수 없습니다."
"Attribute object is undefined","어트리뷰트 오브젝트가 정의되지 않았습니다."
"""%1"" invalid type entered.","""%1""에 잘못된 유형이 입력되었습니다."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""은(는) 알파벳 또는 숫자 이외의 문자를 포함하고 있습니다."
"""%1"" is an empty string.","""%1""은(는) 빈 문자열 입니다."
"""%1"" contains non-numeric characters.","""%1""은(는) 숫자 이외의 문자를 포함하고 있습니다."
"""%1"" contains non-alphabetic characters.","""%1""은(는) 알파벳 이외의 문자를 포함하고 있습니다."
"""%1"" is not a valid email address.","""%s""은(는) 유효한 이메일이 아닙니다."
"""%1"" is not a valid hostname.","""%s""은(는) 유효한 호스트이름이 아닙니다."
"""%1"" uses too many characters.","""%1""에 너무 많은 글자가 사용되었습니다."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%'은(는) IP 주소와 비슷하지만 허용된 형식이 아닙니다."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%'은(는) DNS 호스트 이름과 유사하지만 잘못된 위치에 대시가 포함되어 있습니다."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%'은(는) DNS 호스트 이름과 유사하지만 TLD '%tld%'의 호스트 이름 스키마와 일치하지 않습니다."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%'은(는) DNS 호스트 이름처럼 보이지만 TLD 부분을 추출 할 수 없습니다."
"'%value%' does not look like a valid local network name.","'%value%'은(는) 유효한 로컬 네트워크 이름과 다릅니다."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%'은(는) 허용되지 않는 형식의 로컬 네트워크 이름처럼 보입니다."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%'은(는) DNS 호스트 이름으로 표시되지만 주어진 punycode 표기법은 디코딩 할 수 없습니다."
"""%1"" is not a valid URL.","""%1""은(는) 유효한 URL이 아닙니다."
"""%1"" is not a valid date.","""%1""은(는) 유효한 날짜가 아닙니다."
"""%1"" does not fit the entered date format.","""%1""은(는) 입력한 날짜 형식에 맞지 않습니다."
"""%1"" is not a valid file extension.","""%1""은(는) 유효한 파일 확장자가 아닙니다."
"""%1"" is not a valid file.","""%1""은(는) 유효한 파일이 아닙니다."
"""%1"" exceeds the allowed file size.","""%1""은(는) 허용된 파일 용량을 초과했습니다."
"""%1"" is not a valid image format.","""%s""은(는) 유효한 이미지가 아닙니다."
"""%1"" width exceeds allowed value of %2 px.","폭 ""%1""은(는) 허용된 %2px을 초과했습니다."
"""%1"" height exceeds allowed value of %2 px.","높이 ""%1""은(는) 허용된 %2px을 초과했습니다."
"""%1"" length must be equal or greater than %2 characters.","""%1""의 길이는 %2자 이상이어야 합니다."
"""%1"" length must be equal or less than %2 characters.","""%1""의 길이는 %2자 이하이어야 합니다."
"Please enter a customer email.","고객 이메일을 입력해 주십시오."
"You can't delete group ""%1"".","""%1"" 그룹을 삭제할 수 없습니다. "
"Customer Group already exists.","고객 그룹이 이미 존재합니다."
"Cannot delete group.","그룹을 삭제할 수 없습니다."
"Error during VAT Number verification.","VAT 번호 검증중 에러가 발생했습니다."
"PHP SOAP extension is required.","PHP SOAP 확장기능이 필요합니다."
"VAT Number is valid.","VAT 번호가 올바릅니다."
"Please enter a valid VAT number.","올바른 VAT 번호를 입력해 주십시오."
"Your VAT ID was successfully validated.","VAT 번호가 성공적으로 검정되었습니다."
"You will be charged tax.","세금이 부과됩니다."
"You will not be charged tax.","세금이 부과되지 않습니다."
"The VAT ID entered (%1) is not a valid VAT ID.","입력된 VAT ID %1은(는) 올바르지 않은 VAT ID입니다."
"Your Tax ID cannot be validated.","세금 ID를 검정할 수 없습니다."
"If you believe this is an error, please contact us at %1","에러라고 생각되면 %1로 연락주시기 바랍니다."
Male,남성
Female,여성
"Not Specified","지정되지 않음"
"enter your billing address for proper VAT calculation","적절한 VAT 계산을 위해 청구 주소를 입력하십시오."
"enter your shipping address for proper VAT calculation","적절한 VAT 계산을 위해 배송 주소를 입력하십시오."
"Please enter new password.","새로운 비밀번호를 입력해 주십시오."
"Please enter the state/province.","시/도를 입력해 주십시오."
Label,라벨
Visitor,방문자
"Personal Information","개인 정보"
"Confirmed email:","확인된 이메일:"
"Account Created:",회원가입:
"Account Created on (%1):","회원가입 시기(%1):"
"Account Created in:",회원가입:
"Customer Group:","고객 그룹:"
"Default Billing Address","기본 결제 주소"
"Sales Statistics","세일즈 통계"
"Average Sale","평균 판매"
"Manage Addresses","주소 관리"
"Default Shipping Address","기본 배송 주소"
"Contact Information","연락처 정보"
"Change Password","비밀번호 변경"
Newsletters,뉴스레터
"Default Addresses","기본 주소"
"Change Billing Address","구매자 주소 변경"
"You have no default billing address in your address book.","주소록에 저장된 구매자 주소가 없습니다."
"Change Shipping Address","배송 주소 변경"
"You have no default shipping address in your address book.","주소록에 저장된 배송지 주소가 없습니다."
"Additional Address Entries","추가 주소 항목"
"Delete Address","주소 삭제 "
"Street Address %1","도로명주소 %1"
"It's a default billing address.","기본 구매자 주소입니다."
"Use as my default billing address","기본 구매자 주소로 사용"
"It's a default shipping address.","기본 배송지 주소입니다."
"Use as my default shipping address","기본 배송지 주소로 사용"
"Go back","뒤로 가기"
"Please enter your email below and we will send you the confirmation link.","고객님의 이메일 주소를 입력하시면 확인 링크를 받아보실 수 있습니다."
"Send confirmation link","확인 링크 전송"
"Back to Sign In","로그인으로 돌아가기"
"Change Email","이메일 변경"
"Change Email and Password","이메일 및 비밀번호 변경"
"Current Password","현재 비밀번호"
"Password Strength","비밀번호 강도"
"No Password","비밀번호 없음"
"Confirm New Password","신규 비밀번호 확인"
"Please enter your email address below to receive a password reset link.","이메일 주소를 입력해 주십시오. 비밀번호를 재설정할 수 있는 링크가 고객님의 이메일로 전송됩니다."
"Reset My Password","비밀번호 재설정"
"Registered Customers","회원 로그인"
"If you have an account, sign in with your email address.","이미 회원가입하셨다면 이메일주소로 로그인하세요."
"Subscription option","구독 옵션"
"General Subscription","일반 뉴스레터 가입"
"Sign Up for Newsletter","뉴스레터를 받아보겠습니다"
"Address Information","주소 정보 "
"Sign-in Information","로그인 정보"
"Confirm Password","비밀번호 확인"
"Set a New Password","신규 비밀번호 설정"
"You have signed out and will go to our homepage in 5 seconds.","로그아웃되었습니다. 5초 후 홈페이지로 이동합니다."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","계정을 생성하면 많은 혜택이 있습니다:간편한 결제, 주소록에 주소 저장, 주문 상태 확인등 편리한 기능이 많이 있습니다."
Fax,팩스
"Tax/VAT number","Tax/VAT 번호"
"Welcome to %store_name","%store_name 에 오신 것을 환영합니다."
"Welcome to %store_name.","%store_name에 오신 것을 환영합니다."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">
 My Account</a>
 page:"
Email:,"이메일: "
Password:,"비밀번호: "
"Password you set when creating account","계정 생성시 만든 비밀번호"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","비밀번호를 잊으셨나요? <a href=""%reset_url"">여기를 클릭</a>해서 재설정 할 수 있습니다."
"Proceed through checkout faster","간편한 결제 과정"
"Check the status of orders","주문 상태 확인"
"View past orders","주문 내역 확인"
"Store alternative addresses (for shipping to multiple family members and friends)","대체 주소 저장(가족이나 친구등 여러명에게 발송시 사용)"
"Please confirm your %store_name account","%store_name의 계정을 확인해 주십시오."
"You must confirm your %customer_email email before you can sign in (link is only valid once):","%customer_email로 발송된 메일을 확인해야만 로그인할 수 있습니다.(링크는 한번만 유효합니다)"
"Confirm Your Account","계정 확인"
"Thank you for confirming your %store_name account.","%store_name 계정을 확인해 주셔서 감사합니다."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","로그인해서 비밀번호를 설정하려면 <a href=""%create_password_url"">이곳을</a> 클릭하십시오:"
"Your %store_name email has been changed","%store_name에서 고객님의 이메일이 변경되었습니다."
"Hello,","안녕하세요, "
"We have received a request to change the following information associated with your account at %store_name: email.","%store_name에서 고객님의 정보변경을 요청받았습니다: 이메일"
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","고객님께서 직접 요청한것이 아니면 즉시 <a href=""mailto:%store_email""> %store_email</a> 로 연락을 주시거나"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>로 전화 주시기 바랍니다."
"Thanks,<br>%store_name","감사합니다,<br>%store_name"
"Your %store_name email and password has been changed","%store_name에서 사용하는 이메일과 비밀번호가 변경되었습니다."
"We have received a request to change the following information associated with your account at %store_name: email, password.","%store_name에서 고객님의 정보변경을 요청받았습니다 : 이메일, 비밀번호."
"Reset your %store_name password","%store_name 비밀번호 초기화"
"There was recently a request to change the password for your account.","최근 고객님의 계정에 대한 비밀번호 변경이 요청되었습니다."
"If you requested this change, set a new password here:","변경요청을 하신 것이 맞으시면, 비밀번호를 재설정 해주십시오."
"If you did not make this request, you can ignore this email and your password will remain the same.","만약 이 요청을 고객님께서 하시지 않으셨다면 이 이메일은 무시해도 무방합니다. 이메일주소와 비밀번호는 이전 그대로 유지됩니다."
"Your %store_name password has been changed","%store_name에서 고객님의 비밀번호가 변경되었습니다."
"We have received a request to change the following information associated with your account at %store_name: password.","%store_name에서 고객님의 정보변경을 요청받았습니다: 비밀번호"
"Creating an account has many benefits:","계정을 생성하면 많은 혜택이 있습니다."
"See order and shipping status","주문 및 배송 상태 보기"
"Track order history","주문 이력 확인"
"Check out faster","간편한 결제"
"Are you sure you want to delete this address?","정말로 주소를 삭제하겠습니까?"
Weak,약함
Medium,중간
Strong,강함
"Very Strong","매우 강함"
"All Customers","모든 고객"
"Now Online","현재 온라인"
"Account Sharing Options","계정 공유 옵션"
"Share Customer Accounts","고객 계정 공유"
"Create New Account Options","신규 계정 생성 옵션"
"Enable Automatic Assignment to Customer Group","자동 고객 그룹 지정 활성화"
"Default Group","기본 그룹"
"Show VAT Number on Storefront","스토어 프론트에 VAT 번호 보여주기"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","스토어 프론트에 VAT 번호를 보여주려면, ""스토어 프론트에 VAT 번호 보여주기"" 옵션을 ""네""로 설정해 주십시오."
"Default Email Domain","기본 이메일 도메인"
"Default Welcome Email","기본 회원가입 환영 이메일"
"Require Emails Confirmation","이메일 인증 필요"
"Confirmation Link Email","확인 링크 이메일"
"Welcome Email","환영 이메일"
"Password Options","비밀번호 옵션"
"Forgot Email Template","이메일 분실 템플릿"
"Reset Password Template","비밀번호 재설정 템플릿"
"Password Template Email Sender","비밀번호 템플릿 이메일 송신자"
"Minimum Password Length","비밀번호 최소 글자수"
"Enable Autocomplete on login/forgot password forms","로그인/비밀번호 찾기에 자동 완성 사용"
"Name and Address Options","이름과 주소 옵션"
"Show Prefix","접두사 보여주기"
"The title that goes before name (Mr., Mrs., etc.)","타이틀이 이름 앞에 표시됩니다. (Mr., Mrs. 등)"
"Prefix Dropdown Options","접두사 드롭다운 옵션"
"Show Middle Name (initial)","중간 이름 보여주기(이니셜)"
"Always optional.","항상 선택사항."
"Show Suffix","접미사 보여주기"
"The suffix that goes after name (Jr., Sr., etc.)","접미사는 이름 뒤에 표시됩니다. (Jr., Sr. 등)"
"Suffix Dropdown Options","접미사 드롭다운 옵션"
"Show Date of Birth","생년월일 보여주기"
"Show Tax/VAT Number","Tax/VAT 번호 보여주기"
"Show Gender","성별 보여주기"
"Login Options","로그인 옵션"
"Redirect Customer to Account Dashboard after Logging in","로그인 후 계정 대시보드로 이동합니다."
"Customer will stay on the current page if ""No"" is selected.","""아니오""를 선택하면 고객이 로그인한 페이지에 머물게 됩니다."
"Address Templates","주소 템플릿"
"Online Customers Options","온라인 고객 옵션"
"Leave empty for default (15 minutes).","빈칸으로 두면 기본값이 적용됩니다. (15분)"
"Assign a Customer Group","고객 그룹 지정"
"Are you sure to assign selected customers to new group?","정말로 선택한 고객을 신규 그룹으로 지정하겠습니까?"
Group,그룹
"Add New Customer","신규 고객 추가"
"Are you sure to delete selected customers?","선택한 고객을 삭제하겠습니까?"
"Subscribe to Newsletter","뉴스레터 구독"
"Are you sure to unsubscribe selected customers from newsletter?","선택된 고객의 뉴스레터 구독을 정말로 취소하겠습니까?"
"Unsubscribe from Newsletter","뉴스레터 구독 취소"
"Customer Since",가입일
"Confirmed email","확인 이메일"
"Account Created in",회원가입
"Tax VAT Number","Tax VAT 번호"
"Billing Firstname","구매자 이름"
"Billing Lastname","구매자 성"
"Last Activity","마지막 활동"
"Customer Information","고객 정보"
"Are you sure you want to delete this item?","정말로 이 항목을 삭제하시겠습니까?"
Addresses,주소
"Account Dashboard","계정 대시보드"
"Edit Account Information","계정 정보 수정"
"Password forgotten","잊혀진 암호"
"My Dashboard",대시보드
"You are signed out",로그아웃하였습니다.
"You subscribe to our newsletter.","뉴스 레터에 가입하셨습니다."
"You don't subscribe to our newsletter.","뉴스 레터에 가입되어 있지 않습니다."
"Confirm your new password.","비밀번호를 재확인 합니다"
"Something went wrong while changing the password.","새로운 비밀번호를 저장하는 동안 오류가 발생했습니다."
"Please enter the first name.","이름을 입력하십시오"
"Please enter the last name.","성을 입력하십시오"
"Please enter the city.","도시를 입력해 주십시오."
"Please enter the phone number.","전화번호를 입력해주세요"
"Please enter the zip/postal code.","우편 번호를 입력 하십시오."
"Please enter the country.","국가 입력 하십시오."
"Please enter a first name.","이름을 입력하십시오"
"Please enter a last name.","성을 입력하십시오"
"Please correct this email address: ""%1"".","이 이메일 주소를 정정 하십시오: ""%1""."
"Please enter a date of birth.","생년월일을 입력하세요."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%'은(는) DNS 호스트 이름과 비슷하지만 알려진 목록과 TLD를 비교할 수 없습니다."
"You subscribe to ""General Subscription"".","""일반 뉴스레터""에 가입하셨습니다."
"The password for your account has been successfully changed.","비밀번호가 성공적으로 변경되었습니다."
"Checkout out as a new customer","신규 계정으로 결제"
"Checkout out using your account","계정으로 결제하기"
